strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Canada/NS-NML-94542/2021,EPI_ISL_2835598,NS-QEII Health Sciences Centre,National Microbiology Laboratory (NML),"Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Natalie Knox, Morag Graham, Gary Van Domselaar, Todd Hatchette, Jason LeBlanc, Janice Pettipas, Dan Gaston, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Kirsten Biggar, CanCOGeN's metadata curation team, Public Health Agency of Canada CanCOGeN team"
hCoV-19/Trinidad and Tobago/161005/2022,EPI_ISL_15458890,Trinidad Public Health Laboratory,CARPHA,Carlos Rampersad on behalf of CARPHA
hCoV-19/USA/IA-SHL-2237311/2023,EPI_ISL_16965599,State Hygienic Laboratory at the University of Iowa,State Hygienic Laboratory at the University of Iowa,"Valerie Reeb, Erik Twait, Anna Yakos, Kris Eveland, Kristen Zanon, Jeff Benfer, Wes Hottel, Alankar Kampoowale, Whitney Platte, Mohammed EL Allam"
hCoV-19/Zambia/71069_S34_L001-MN908947-3/2022,EPI_ISL_17064257,Lubuto clinic,Tropical Diseases Research center,"Kabengele keith Siame, Andrew Chongwe, Lombe Kampamba"
hCoV-19/Zambia/71067_S5_L001-MN908947-3/2022,EPI_ISL_17064256,Lubuto clinic,Tropical Diseases Research center,"Kabengele keith Siame, Andrew Chongwe, Lombe Kampamba"
hCoV-19/Zambia/71066_S9_L001-MN908947-3/2022,EPI_ISL_17064255,Lubuto clinic,Tropical Diseases Research center,"Kabengele keith Siame, Andrew Chongwe, Lombe Kampamba"
hCoV-19/Indonesia/JK-GS-GSILab-1149055/2023,EPI_ISL_17213339,Genomik Solidaritas Indonesia Laboratorium,Genomik Solidaritas Indonesia Laboratorium,"Kirana Pangestuti, Dian Pitaloka Rajagukguk, Arif Trisman, Gracia Felias Enos Korompis, Renata Triwijaya, Eugene Vito Sebastian, Anuraj Shankar, Louisa Markus, Meutia Ayuputeri Kumaheri, Ariel Pradipta"
hCoV-19/Austria/LB-R00120-S012/2023,EPI_ISL_16527191,Lifebrain Covid Labor GmbH,Lifebrain Covid Labor GmbH,"Filip Sima, Alexandra Wagner, Kristina Bavrka-Kolenc, Lucia Castello, Sojung Han, Clint Francis Pons, Anna Edermayr"
hCoV-19/Japan/PG-381211/2022,EPI_ISL_15694189,Niigata Prefectural Institute of Public Health and Environmental Sciences,Niigata Prefectural Institute of Public Health and Environmental Sciences,"Takanori Hayashi, Kaori Watanabe, Tsutomu Tamura, Miwako Kato, Miyako Kon, Tsuyoshi Sekizuka, Kentaro Itokawa, Akina Ogamino, Rina Tanaka, Masanori Hashino, Makoto Kuroda"
hCoV-19/Lithuania/MB230306_0025/2023,EPI_ISL_17248020,Kaunas City Polyclinic,National Public Health Surveillance Laboratory,"Lukas Zemaitis, Jelena Razmuk, Patricija Kaulakyte, Gabija Tamoliunaite, Martynas Smicius"
hCoV-19/Trinidad and Tobago/160909/2022,EPI_ISL_15458898,Trinidad Public Health Laboratory,CARPHA,Carlos Rampersad on behalf of CARPHA
hCoV-19/Portugal/INSA-PT45654/2023,EPI_ISL_16825058,Hospital Vila Franca Xira,Instituto Nacional de Saude Doutor Ricardo Jorge,Borges et al
hCoV-19/Zambia/71053_S29_L001-MN908947-3/2022,EPI_ISL_17064250,SOLWEZI,Tropical Diseases Research center,"Kabengele keith Siame, Andrew Chongwe, Lombe Kampamba"
hCoV-19/Indonesia/JK-NIHRD-WGS-22-38116/2023,EPI_ISL_16534704,Laboratorium Econolab,National Institute of Health Research and Development,"Hana Apsari Pawestri, Arie Ardiansyah Nugraha, Fajar Nur Sulistyahadi, Hartanti Dian Ikawati, Markus Evan Anggia, Subangkit, Nelis Imaningsih, IGM Wirabrata"
hCoV-19/New Zealand/23ZA0761/2023,EPI_ISL_16953152,Medlab South,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/USA/OH-CDC-QDX47493218/2023,EPI_ISL_17250322,Quest Diagnostics Incorporated,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Yvette Unoarumhi, Kristine Lacek, Shatavia Morrison, Christopher Gulvik, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Paritra Mandal, Moneeb Bajwa, Natalie Thornburg, Reina Chau, Nehalraza Momin, Clinton Paden, Duncan MacCannell"
hCoV-19/New Zealand/22CV4314/2022,EPI_ISL_12546340,MedLab Central Ltd,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Ana Claasen, Subin Jeon, Amy Bradhsaw, Bethany Forsythe, Joep de Ligt"
hCoV-19/Algeria/HCA976/2022,EPI_ISL_16242283,"NIC, Viral Respiratory Unit","NIC, Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/New Zealand/23ZA0691/2023,EPI_ISL_16953149,Canterbury SCL,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Algeria/38874/2022,EPI_ISL_16242285,"NIC, Viral Respiratory Unit","NIC, Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Algeria/43323/2022,EPI_ISL_16242288,"NIC, Viral Respiratory Unit","NIC, Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/USA/FL-CDC-QDX43632762/2022,EPI_ISL_15951780,Quest Diagnostics Incorporated,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell"
hCoV-19/Peru/LIM-INS-31370/2022,EPI_ISL_15723865,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,"Carlos Padilla Rojas, Veronica Hurtado Vela, Iris Silva Molina, Luis Barcena Flores, Wendy Lizarraga Olivares, Alicia Nuñez Llanos, Steve Acedo Lazo, Victor Jimenez Vasquez, Kelly Izarra Rojas, Princesa Medrano Alhuay, Luren Sevilla Castañeda, Estela Huaman Angeles, Lilian Huarca Balbin, Maria Villar Saavedra, Olga Torres Gonzales, Omar Caceres Rey, Marco Galarza Perez, Henri Bailon Calderon, Nancy Rojas Serrano, Priscila Lope Pari, Lely Solari Zerpa, Joseph Huayra Niquen, Gloria Arotinco Garayar."
hCoV-19/Gabon/K0688/2020,EPI_ISL_11522714,Centre de Recherches Medicales de Lambarene,"Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University","Haruka Abe, Yuri Ushijima, Rodrigue Bikangui, Georgelin Nguema Ondo, Bertrand Lell, Ayola A. Adegnika, Jiro Yasuda"
hCoV-19/USA/TN-SPHL-3444/2022,EPI_ISL_15850872,Tennessee Department of Health Laboratory Services,Tennessee Department of Health Laboratory Services,"Karen Beasley-Maynard, Brian Selinsky"
hCoV-19/Algeria/43891/2022,EPI_ISL_16242289,"NIC, Viral Respiratory Unit","NIC, Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Mauritius/52417/2022,EPI_ISL_15908957,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Aruba/AW-RIVM-125450/2023,EPI_ISL_16760446,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/South Africa/CERI-KRISP-K049983/2022,EPI_ISL_15997581,Pathcare,"CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.","Maponga T, Claassen M, Stander T, van Zyl G, Preiser W, Giandhari J, Pillay S, Naidoo Y, Maharaj A, Anyaneji UJ, Sanko TJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T"
hCoV-19/Trinidad and Tobago/342208/2022,EPI_ISL_15310868,Trinidad Public Health Laboratory,"Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus","Nikita S. D. Sahadeo, Anushka Ramjag, Arianne Brown-Jordan, Vernie Ramkissoon, Soren Nicholls, Nicholas Mohammed, Sarah Hill, Roshan Parasram, Avery Hinds, Risha Singh, SueMin Nathaniel, Nuno Faria, Oliver Pybus, Christopher Oura, Gabriel Escobar, Christine V. F. Carrington"
hCoV-19/Mauritius/52379/2022,EPI_ISL_15908953,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Ecuador/GENSBIO-INSPI-102175/2023,EPI_ISL_16943778,"Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9","Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9","Andres Carrazco-Montalvo*, Damaris Alarcon-Vallejo, Andres Herrera-Yela, Diana Gutierrez-Pallo, Natali Arguello, Paul Beltran, Ruth Gomez, Byron Fuertes"
hCoV-19/Japan/PG-434512/2023,EPI_ISL_16691314,Kagoshima Prefectural Institute for Environmental Research and Public Health,Kagoshima Prefectural Institute for Environmental Research and Public Health,"Kazuki Manabe, Nao Sonoda, Mami Yamamoto, Kanji Ishitani, Nodoka Hozumi, Naomi Shinkawa, Tsuyoshi Sekizuka, Kentaro Itokawa, Akina Ogamino, Rina Tanaka, Masanori Hashino, Makoto Kuroda"
hCoV-19/Netherlands/NB-RIVM-115156/2022,EPI_ISL_15540945,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Hai Xi Wiegmans, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Kenya/SS11248/2022,EPI_ISL_16574372,Voi Teaching and Referal Hospital,"KEMRI-Wellcome Trust Research Programme,Kilifi","Githinji G., Ochola I., Agoti C., Mohamed K.S., de Laurent Z., Mburu M.W., Morobe J., Ndwiga L. Makori T., Ongera E., Lambisia A. Nokes D J."
hCoV-19/United Arab Emirates/1822/2020,EPI_ISL_859602,"BTC, Khalifa University","BTC, Khalifa University",Al Safar et al
hCoV-19/South Africa/NHLS-UCT-GP-U369/2022,EPI_ISL_16641056,Testing Centre NHLS WC (Green Point),NHLS/UCT,"Arash Iranzadeh, Lynn Tyers, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Rageema Joseph, Luicer Olubayo, Nokuzola Mbhele, Innocent Mudau, Carolyn Williamson"
hCoV-19/USA/WV-CDC-LC0900189/2022,EPI_ISL_15412225,Laboratory Corporation of America,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton Paden, Duncan MacCannell"
hCoV-19/Costa Rica/INC-8447-775671/2022,EPI_ISL_16347378,AREA DE SALUD PAVAS (COOPESALUD),"Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud","Francisco Duarte, Hebleen Porras, Claudio Soto-Garita, Estela Cordero, Adriana Godínez, Melany Calderón, José Luis Vargas, Mariela Gutiérrez, Sofia Herrera & Natalia Bonilla"
hCoV-19/Mauritius/MHW-9462/2023,EPI_ISL_17088278,"Central Health Laboratory, Ministry of Health and Wellness","Central Health Laboratory, Ministry of Health and Wellness","Ubheeram J, Ramuth M, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Guatemala/4787-LNS/2022,EPI_ISL_13490292,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, García G, Perez M, Calan K"
hCoV-19/Canada/NB-CHUDGLD-191022-MM00009R/2022,EPI_ISL_15528822,New Brunswick - Vitalite Health Network,New Brunswick - Vitalite Health Network,"Chacko S., Shaw W., Lacroix J., Allain E., Lyons P., Garceau R., Desnoyers G., Crapoulet N."
hCoV-19/New Zealand/22CV3505/2022,EPI_ISL_11865942,MedLab Central Ltd,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Ana Claasen, Subin Jeon, Amy Bradhsaw, Bethany Forsythe, Joep de Ligt"
hCoV-19/Belgium/Briant-12220281301/2022,EPI_ISL_16292972,Imelda Ziekenhuis,Imelda Ziekenhuis,"Johan Frans, Dagmar Obbels, Hanne Valgaeren, Denise Veltman"
hCoV-19/Indonesia/JK-CW62-2661/2022,EPI_ISL_15641636,RSDC Wisma Atlet Kemayoran,National Quality Control Laboratory of Drug and Food,"Yulia Karyana, Sri U, Sofia D.U, Yusrina N. C., Hana Apsari Pawestri"
hCoV-19/Laos/LOMWRU-0847/2022,EPI_ISL_16017419,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Microbiology Laboratory, Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Manila Souksavanh, Siribun Panapruksachat, Elizabeth Batty, Matthew T. Robinson, Audrey Dubot-Pérès, Manivanh Vongsouvath, Elizabeth Ashley"
hCoV-19/Chile/RM-136803/2022,EPI_ISL_16371880,Genetica Molecular and Subdepartamento de Virologia ISP Chile,Instituto de Salud Publica de Chile,"Constanza Campano, Marcelo Rojas, Mariela Guajardo, Paulo Covarrubias, Barbara Parra, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Matias Pezoa, Ivan Ponce, Jorge Fernandez"
hCoV-19/Malaysia/MKAK_CL_23_7292/2023,EPI_ISL_17008511,National Public Health Laboratory,National Public Health Laboratory,"Yu Kie A/P Chem, Selvanesan A/L Sengol, Noriah Binti Mohd Yusof, Rehan Shuhada Binti Abu Bakar, Kamal Hisham Bin Kamarul Zaman, Muhammad Shahir Bin Ali, Joshua Jeremiah Johnli"
hCoV-19/Laos/LOMWRU-0843/2022,EPI_ISL_16017415,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Microbiology Laboratory, Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Manila Souksavanh, Siribun Panapruksachat, Elizabeth Batty, Matthew T. Robinson, Audrey Dubot-Pérès, Manivanh Vongsouvath, Elizabeth Ashley"
hCoV-19/Laos/LOMWRU-0842/2022,EPI_ISL_16017414,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Microbiology Laboratory, Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Manila Souksavanh, Siribun Panapruksachat, Elizabeth Batty, Matthew T. Robinson, Audrey Dubot-Pérès, Manivanh Vongsouvath, Elizabeth Ashley"
hCoV-19/Laos/LOMWRU-0841/2022,EPI_ISL_16017413,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Microbiology Laboratory, Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Manila Souksavanh, Siribun Panapruksachat, Elizabeth Batty, Matthew T. Robinson, Audrey Dubot-Pérès, Manivanh Vongsouvath, Elizabeth Ashley"
hCoV-19/Bonaire/BQ-RIVM-125224/2023,EPI_ISL_16760018,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Laos/LOMWRU-0840/2022,EPI_ISL_16017412,"Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Microbiology Laboratory, Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit (LOMWRU), Mahosot Hospital","Manila Souksavanh, Siribun Panapruksachat, Elizabeth Batty, Matthew T. Robinson, Audrey Dubot-Pérès, Manivanh Vongsouvath, Elizabeth Ashley"
hCoV-19/South Africa/CERI-KRISP-K050007/2022,EPI_ISL_15999772,Pathcare,"CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.","Maponga T, Claassen M, Stander T, van Zyl G, Preiser W, Giandhari J, Pillay S, Naidoo Y, Maharaj A, Anyaneji UJ, Sanko TJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T"
